정류장번호,위도,경도,도시명
1640,35.13416389,126.6770944,광주광역시
1641,35.13033611,126.6789111,광주광역시
1643,35.1205197,126.6839587,광주광역시
1647,35.1155642,126.6846123,광주광역시
1648,35.111716,126.691415,광주광역시
1649,35.10980697,126.6928861,광주광역시
1650,35.110945,126.699052,광주광역시
1651,35.112764,126.705378,광주광역시
1652,35.113641,126.712112,광주광역시
1653,35.12132778,126.71575,광주광역시
1654,35.12445,126.7077167,광주광역시
1655,35.12383056,126.7000667,광주광역시
1656,35.123975,126.6957639,광주광역시
1657,35.12576667,126.6892333,광주광역시
1658,35.12775,126.68445,광주광역시
1659,35.12899167,126.6814361,광주광역시
1660,35.12873478,126.6801173,광주광역시
1661,35.12274444,126.7216417,광주광역시
1662,35.12380556,126.7353389,광주광역시
1663,35.12442778,126.7372861,광주광역시
1664,35.126075,126.7424667,광주광역시
1665,35.12627778,126.7448306,광주광역시
1666,35.12609444,126.7559472,광주광역시
1667,35.12536111,126.7584194,광주광역시
1669,35.11787,126.780478,광주광역시
1670,35.11183056,126.77945,광주광역시
1671,35.10780833,126.7788083,광주광역시
1672,35.10088611,126.7775583,광주광역시
1673,35.09727222,126.7739222,광주광역시
1674,35.09133889,126.7725722,광주광역시
1675,35.08633889,126.7720917,광주광역시
1676,35.08126111,126.7671,광주광역시
1677,35.07411667,126.7697944,광주광역시
1678,35.08138611,126.7671167,광주광역시
1679,35.07332778,126.757975,광주광역시
1680,35.06661389,126.7517806,광주광역시
1681,35.06156944,126.7490444,광주광역시
1682,35.05343056,126.7377222,광주광역시
1683,35.05125278,126.7258889,광주광역시
1684,35.04896389,126.7203222,광주광역시
1688,35.035725,126.7199194,광주광역시
1691,35.03582222,126.7207111,광주광역시
1693,35.03628333,126.71695,광주광역시
1694,35.03906667,126.7159444,광주광역시
1695,35.03865278,126.7149889,광주광역시
1696,35.03578056,126.7165306,광주광역시
1698,35.04873889,126.7204694,광주광역시
1699,35.050625,126.7229639,광주광역시
1700,35.05205556,126.7312611,광주광역시
1701,35.05332222,126.7378667,광주광역시
1702,35.06083889,126.7485028,광주광역시
1703,35.06637222,126.7518639,광주광역시
1704,35.07386111,126.7589306,광주광역시
1706,35.08677778,126.7725111,광주광역시
1707,35.09141111,126.7727083,광주광역시
1708,35.09815833,126.7750139,광주광역시
1709,35.10176944,126.7779472,광주광역시
1710,35.10720278,126.7788556,광주광역시
1711,35.11088333,126.77945,광주광역시
1713,35.141437,126.810752,광주광역시
1716,35.139377,126.831185,광주광역시
1717,35.13313611,126.8304722,광주광역시
1718,35.12758056,126.8311528,광주광역시
1719,35.12162222,126.8329056,광주광역시
1720,35.11430833,126.8295722,광주광역시
1721,35.11060556,126.8364778,광주광역시
1723,35.11274722,126.8443167,광주광역시
1724,35.11373611,126.8484056,광주광역시
1726,35.113987,126.856128,광주광역시
1727,35.115246,126.85905,광주광역시
1729,35.117484,126.858137,광주광역시
1732,35.119704,126.858924,광주광역시
1733,35.12001,126.860707,광주광역시
1734,35.11521389,126.8677694,광주광역시
1735,35.11401111,126.8698917,광주광역시
1738,35.10852222,126.8785333,광주광역시
1739,35.10765833,126.8848806,광주광역시
1740,35.11035011,126.8928671,광주광역시
1744,35.11798611,126.898575,광주광역시
1746,35.11103056,126.8941111,광주광역시
1747,35.10810833,126.8854306,광주광역시
1748,35.10889167,126.8784028,광주광역시
1755,35.1141,126.8705556,광주광역시
1756,35.11550556,126.8677083,광주광역시
1757,35.11933759,126.863356,광주광역시
1758,35.119337,126.858067,광주광역시
1759,35.116452,126.85374,광주광역시
1760,35.11417222,126.8489417,광주광역시
1762,35.11069722,126.8287556,광주광역시
1763,35.11015,126.82295,광주광역시
1764,35.10745278,126.8209139,광주광역시
1765,35.099538,126.821676,광주광역시
1767,35.09751944,126.8240722,광주광역시
1768,35.09238403,126.8274311,광주광역시
1769,35.08217989,126.830977,광주광역시
1770,35.081075,126.8334028,광주광역시
1772,35.07676667,126.8270778,광주광역시
1773,35.07400833,126.8225528,광주광역시
1774,35.07332222,126.818525,광주광역시
1775,35.07041389,126.8158722,광주광역시
1777,35.05650618,126.8164355,광주광역시
1778,35.06631389,126.8056722,광주광역시
1780,35.064815,126.802842,광주광역시
1781,35.05957222,126.8051306,광주광역시
1783,35.05319167,126.8118444,광주광역시
1785,35.06163611,126.7937778,광주광역시
1786,35.06002222,126.7900694,광주광역시
1787,35.05800556,126.7865167,광주광역시
1788,35.05636944,126.7839861,광주광역시
1789,35.06935556,126.8024389,광주광역시
1790,35.07188333,126.8040639,광주광역시
1791,35.074025,126.8036806,광주광역시
1792,35.07591944,126.8041917,광주광역시
1793,35.08258889,126.8076111,광주광역시
1794,35.08595278,126.8078,광주광역시
1795,35.08749722,126.8090833,광주광역시
1797,35.09473333,126.81355,광주광역시
1798,35.09676111,126.8159917,광주광역시
1799,35.098612,126.818868,광주광역시
1802,35.13278889,126.8317833,광주광역시
1805,35.21391667,126.9485306,광주광역시
1807,35.22261389,126.9583361,광주광역시
1808,35.22316944,126.9632417,광주광역시
1809,35.22242778,126.9669417,광주광역시
1810,35.22232778,126.9733556,광주광역시
1812,35.224075,126.978375,광주광역시
1813,35.22499444,126.9846167,광주광역시
1814,35.22497222,126.9917417,광주광역시
1815,35.22858056,126.9973944,광주광역시
1816,35.23351389,127.0117139,광주광역시
1817,35.23757778,127.0146111,광주광역시
1818,35.23965278,127.0186556,광주광역시
1819,35.24153056,127.0227833,광주광역시
1821,35.24514167,127.0251111,광주광역시
1822,35.24990556,127.0381389,광주광역시
1824,35.22846667,127.0051361,광주광역시
1825,35.22404444,126.9778944,광주광역시
1826,35.22256944,126.9741944,광주광역시
1828,35.22249167,126.967025,광주광역시
1829,35.22331667,126.9631889,광주광역시
1830,35.22325833,126.9571528,광주광역시
1831,35.21453929,126.9487959,광주광역시
1832,35.23132778,126.9562611,광주광역시
